"","parameterQuality","parameterTravel","parameterMain","trialN","mouse_5.time","mouse_3.time","mouse_4.time","participant","v1_age","v2_sex","v3_handedness","v4_vision"
"12",1,0,0,0,1.97142791748,NA,NA,1,38,"w","r","0"
"13",1,0,0,0,2.02427911758,NA,NA,1,38,"w","r","0"
"14",1,0,0,0,2.51229906082,NA,NA,1,38,"w","r","0"
"15",1,0,0,0,2.34153985977,NA,NA,1,38,"w","r","0"
"16",1,0,0,0,2.02401518822,NA,NA,1,38,"w","r","0"
"17",1,0,0,0,2.04193496704,NA,NA,1,38,"w","r","0"
"18",1,0,0,0,1.70905184746,NA,NA,1,38,"w","r","0"
"19",1,0,0,0,2.49209809303,NA,NA,1,38,"w","r","0"
"20",1,0,0,0,2.04425907135,NA,NA,1,38,"w","r","0"
"21",1,0,0,0,1.60911798477,NA,NA,1,38,"w","r","0"
"22",1,0,0,0,1.60898900032,NA,NA,1,38,"w","r","0"
"23",1,0,0,0,1.69259786606,NA,NA,1,38,"w","r","0"
"24",1,0,0,0,1.30950498581,NA,NA,1,38,"w","r","0"
"25",1,0,0,0,1.50902795792,NA,NA,1,38,"w","r","0"
"26",1,0,0,0,1.72538113594,NA,NA,1,38,"w","r","0"
"27",1,0,0,0,1.59439706802,NA,NA,1,38,"w","r","0"
"28",1,0,0,0,1.90912222862,NA,NA,1,38,"w","r","0"
"29",1,0,0,0,1.70809292793,NA,NA,1,38,"w","r","0"
"30",1,0,0,0,1.22460484505,NA,NA,1,38,"w","r","0"
"31",1,0,0,0,1.47658896446,NA,NA,1,38,"w","r","0"
"32",1,0,0,0,1.51082110405,NA,NA,1,38,"w","r","0"
"33",1,0,0,0,1.60888004303,NA,NA,1,38,"w","r","0"
"34",1,0,0,0,1.67610621452,NA,NA,1,38,"w","r","0"
"35",1,0,0,0,1.94304418564,NA,NA,1,38,"w","r","0"
"36",1,0,0,0,2.04315185547,NA,NA,1,38,"w","r","0"
"37",1,0,0,0,1.64479422569,NA,NA,1,38,"w","r","0"
"38",1,0,0,0,1.54257893562,NA,NA,1,38,"w","r","0"
"39",1,0,0,0,1.82482790947,NA,NA,1,38,"w","r","0"
"40",1,0,0,0,1.34091997147,NA,NA,1,38,"w","r","0"
"41",1,0,0,0,1.2099339962,NA,NA,1,38,"w","r","0"
"42",1,0,0,0,2.26122117043,NA,NA,1,38,"w","r","0"
"43",1,0,0,0,1.52378296852,NA,NA,1,38,"w","r","0"
"44",1,0,0,0,1.61129403114,NA,NA,1,38,"w","r","0"
"45",1,0,0,0,1.44349789619,NA,NA,1,38,"w","r","0"
"46",1,0,0,0,1.75773787498,NA,NA,1,38,"w","r","0"
"47",1,0,0,0,1.3104698658,NA,NA,1,38,"w","r","0"
"48",1,0,0,0,1.5107729435,NA,NA,1,38,"w","r","0"
"49",1,0,0,0,1.32743501663,NA,NA,1,38,"w","r","0"
"50",1,0,0,0,1.5424079895,NA,NA,1,38,"w","r","0"
"51",1,0,0,0,1.44297480583,NA,NA,1,38,"w","r","0"
"52",1,0,0,0,1.11019587517,NA,NA,1,38,"w","r","0"
"53",1,0,0,0,1.27575492859,NA,NA,1,38,"w","r","0"
"54",1,0,0,0,2.2079949379,NA,NA,1,38,"w","r","0"
"55",1,0,0,0,1.10866904259,NA,NA,1,38,"w","r","0"
"56",1,0,0,0,1.14252710342,NA,NA,1,38,"w","r","0"
"57",1,0,0,0,1.20815610886,NA,NA,1,38,"w","r","0"
"58",1,0,0,0,1.67428016663,NA,NA,1,38,"w","r","0"
"59",1,0,0,0,1.49391388893,NA,NA,1,38,"w","r","0"
"60",1,0,0,0,1.72934985161,NA,NA,1,38,"w","r","0"
"61",1,0,0,0,1.44596910477,NA,NA,1,38,"w","r","0"
"62",1,0,0,0,1.59881997108,NA,NA,1,38,"w","r","0"
"63",1,0,0,0,1.16211009026,NA,NA,1,38,"w","r","0"
"64",1,0,0,0,1.12987399101,NA,NA,1,38,"w","r","0"
"65",1,0,0,0,1.52878499031,NA,NA,1,38,"w","r","0"
"66",1,0,0,0,1.1123790741,NA,NA,1,38,"w","r","0"
"67",1,0,0,0,0.628637075424,NA,NA,1,38,"w","r","0"
"68",1,0,0,0,1.41106104851,NA,NA,1,38,"w","r","0"
"69",1,0,0,0,1.26190805435,NA,NA,1,38,"w","r","0"
"70",1,0,0,0,1.04505991936,NA,NA,1,38,"w","r","0"
"71",1,0,0,0,1.2295820713,NA,NA,1,38,"w","r","0"
"72",1,0,0,0,0.877399206161,NA,NA,1,38,"w","r","0"
"73",1,0,0,0,1.14572310448,NA,NA,1,38,"w","r","0"
"74",1,0,0,0,0.910343170166,NA,NA,1,38,"w","r","0"
"75",1,0,0,0,1.07748889923,NA,NA,1,38,"w","r","0"
"76",1,0,0,0,0.609138011932,NA,NA,1,38,"w","r","0"
"77",1,0,0,0,0.912240982056,NA,NA,1,38,"w","r","0"
"78",1,0,0,0,1.63058805466,NA,NA,1,38,"w","r","0"
"79",1,0,0,0,1.5090470314,NA,NA,1,38,"w","r","0"
"80",1,0,0,0,1.1266579628,NA,NA,1,38,"w","r","0"
"81",1,0,0,0,1.24186587334,NA,NA,1,38,"w","r","0"
"82",1,0,0,0,1.57604598999,NA,NA,1,38,"w","r","0"
"83",1,0,0,0,1.07583022118,NA,NA,1,38,"w","r","0"
"84",1,0,0,0,1.09143805504,NA,NA,1,38,"w","r","0"
"85",1,0,0,0,1.00809597969,NA,NA,1,38,"w","r","0"
"86",1,0,0,0,1.04299807549,NA,NA,1,38,"w","r","0"
"87",1,0,0,0,0.974538803101,NA,NA,1,38,"w","r","0"
"88",1,0,0,0,0.896063089371,NA,NA,1,38,"w","r","0"
"89",1,0,0,0,0.841382026672,NA,NA,1,38,"w","r","0"
"90",1,0,0,0,1.14708399773,NA,NA,1,38,"w","r","0"
"91",1,0,0,0,1.26045298576,NA,NA,1,38,"w","r","0"
"92",1,0,0,0,0.864784955978,NA,NA,1,38,"w","r","0"
"93",1,0,0,0,1.16696500778,NA,NA,1,38,"w","r","0"
"94",1,0,0,0,1.06401896477,NA,NA,1,38,"w","r","0"
"95",1,0,0,0,1.36310791969,NA,NA,1,38,"w","r","0"
"96",1,0,0,0,1.14198303223,NA,NA,1,38,"w","r","0"
"97",1,0,0,0,0.962951898575,NA,NA,1,38,"w","r","0"
"98",1,0,0,0,1.21341705322,NA,NA,1,38,"w","r","0"
"99",1,0,0,0,1.14224815369,NA,NA,1,38,"w","r","0"
"100",1,0,0,0,0.961462974548,NA,NA,1,38,"w","r","0"
"101",1,0,0,0,1.06703591347,NA,NA,1,38,"w","r","0"
"102",1,0,0,0,1.07893109322,NA,NA,1,38,"w","r","0"
"103",1,0,0,0,1.11331987381,NA,NA,1,38,"w","r","0"
"104",1,0,0,0,0.862755060196,NA,NA,1,38,"w","r","0"
"105",1,0,0,0,0.761662960052,NA,NA,1,38,"w","r","0"
"106",1,0,0,0,1.15113997459,NA,NA,1,38,"w","r","0"
"107",1,0,0,0,0.962942123413,NA,NA,1,38,"w","r","0"
"108",1,0,0,0,0.879023790359,NA,NA,1,38,"w","r","0"
"109",1,0,0,0,1.02951407433,NA,NA,1,38,"w","r","0"
"110",1,0,0,0,0.86297917366,NA,NA,1,38,"w","r","0"
"111",1,0,0,0,0.977927923203,NA,NA,1,38,"w","r","0"
"112",1,0,0,0,0.928862094879,NA,NA,1,38,"w","r","0"
"113",1,0,0,0,0.679711103439,NA,NA,1,38,"w","r","0"
"114",1,0,0,0,0.926669120789,NA,NA,1,38,"w","r","0"
"115",1,0,0,0,0.795047044754,NA,NA,1,38,"w","r","0"
"116",1,0,0,0,1.07636594772,NA,NA,1,38,"w","r","0"
"117",1,0,0,0,0.881085157394,NA,NA,1,38,"w","r","0"
"118",1,0,0,0,1.39535593987,NA,NA,1,38,"w","r","0"
"119",1,0,0,0,0.795903921127,NA,NA,1,38,"w","r","0"
"120",1,0,0,0,1.11146092415,NA,NA,1,38,"w","r","0"
"121",1,0,0,0,1.46062397957,NA,NA,1,38,"w","r","0"
"122",1,0,0,0,0.961820840836,NA,NA,1,38,"w","r","0"
"123",1,0,0,0,0.845909833908,NA,NA,1,38,"w","r","0"
"124",1,0,0,0,0.88178896904,NA,NA,1,38,"w","r","0"
"125",1,0,0,0,0.792406797409,NA,NA,1,38,"w","r","0"
"126",1,0,0,0,1.02786397934,NA,NA,1,38,"w","r","0"
"127",1,0,0,0,0.811096906662,NA,NA,1,38,"w","r","0"
"128",1,0,0,0,1.09683799744,NA,NA,1,38,"w","r","0"
"129",1,0,0,0,1.23016786575,NA,NA,1,38,"w","r","0"
"130",1,0,0,0,0.877124786377,NA,NA,1,38,"w","r","0"
"131",1,0,0,0,1.40982317924,NA,NA,1,38,"w","r","0"
"132",1,0,0,0,1.12716794014,NA,NA,1,38,"w","r","0"
"133",1,0,0,0,0.928033828735,NA,NA,1,38,"w","r","0"
"134",1,0,0,0,0.977311134338,NA,NA,1,38,"w","r","0"
"135",1,0,0,0,0.693114995956,NA,NA,1,38,"w","r","0"
"136",1,0,0,0,1.11085104942,NA,NA,1,38,"w","r","0"
"137",1,0,0,0,0.559932947159,NA,NA,1,38,"w","r","0"
"138",1,0,0,0,0.807567119598,NA,NA,1,38,"w","r","0"
"139",1,0,0,0,1.27495384216,NA,NA,1,38,"w","r","0"
"140",1,0,0,0,1.0076110363,NA,NA,1,38,"w","r","0"
"141",1,0,0,0,0.759603977203,NA,NA,1,38,"w","r","0"
"142",1,0,0,0,1.37394714355,NA,NA,1,38,"w","r","0"
"143",0,0,1,0,NA,1.89437317848,NA,1,38,"w","r","0"
"144",0,0,1,0,NA,2.86607503891,NA,1,38,"w","r","0"
"145",0,0,1,0,NA,3.21763014793,NA,1,38,"w","r","0"
"146",0,0,1,0,NA,3.3310739994,NA,1,38,"w","r","0"
"147",0,0,1,0,NA,2.7683968544,NA,1,38,"w","r","0"
"148",0,0,1,0,NA,3.06433796883,NA,1,38,"w","r","0"
"149",0,0,1,0,NA,3.14751815796,NA,1,38,"w","r","0"
"150",0,0,1,0,NA,2.96201610565,NA,1,38,"w","r","0"
"151",0,0,1,0,NA,2.76332402229,NA,1,38,"w","r","0"
"152",0,0,1,0,NA,2.69704604149,NA,1,38,"w","r","0"
"153",0,0,1,0,NA,3.41281199455,NA,1,38,"w","r","0"
"154",0,0,1,0,NA,3.26407313347,NA,1,38,"w","r","0"
"155",0,0,1,0,NA,2.8143029213,NA,1,38,"w","r","0"
"156",0,0,1,0,NA,2.01446890831,NA,1,38,"w","r","0"
"157",0,0,1,0,NA,2.82906389236,NA,1,38,"w","r","0"
"158",0,0,1,0,NA,3.43059802055,NA,1,38,"w","r","0"
"159",0,0,1,0,NA,4.02781486511,NA,1,38,"w","r","0"
"160",0,0,1,0,NA,3.51223492622,NA,1,38,"w","r","0"
"161",0,0,1,0,NA,3.81334495544,NA,1,38,"w","r","0"
"162",0,0,1,0,NA,3.01453900337,NA,1,38,"w","r","0"
"163",0,0,1,0,NA,2.51218104362,NA,1,38,"w","r","0"
"164",0,0,1,0,NA,2.51242399216,NA,1,38,"w","r","0"
